LGA_CODE_2021,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_resp,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sam_BP_B_OS,C16_Sam_Fa_O_B_OS,C16_Sam_Mo_O_B_OS,C16_Sam_BP_B_Aus,C16_Sam_Birthplac_ns,C16_Sam_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_Tot_resp,C16_Tot_P_BP_B_OS,C16_Tot_P_Fa_O_B_OS,C16_Tot_P_Mo_O_B_OS,C16_Tot_P_BP_B_Aus,C16_Tot_P_Bplace_NS,C16_Tot_P_Tot_resp,C21_Aus_BP_B_OS,C21_Aus_Fa_O_B_OS,C21_Aus_Mo_O_B_OS,C21_Aus_BP_B_Aus
LGA14400,574,7106,125,8805,0,7,0,36,5,50,113,3,6,45,0,172,47,14,8,30,0,101,151,48,34,103,3,341,1706,860,582,6021,133,9304,34,3,14,5,0,55,48,3,6,64,0,120,224,84,41,452,12,814,67,14,8,47,0,140,23,12,4,7,0,46,42,0,9,17,0,69,384,195,168,2569,46,3355,226,80,26,262,6,598,9,0,0,0,0,16,21,0,0,8,0,30,43,6,4,14,0,65,82,19,18,54,0,171,49,9,12,6,0,82,97,45,28,19,0,188,83,18,3,35,0,149,29,5,0,18,0,50,15,3,0,0,0,23,432,202,161,1782,29,2603,15,5,0,13,0,36,51,12,11,3,0,74,51,6,5,28,0,89,10,0,0,0,0,11,10,8,0,4,0,20,70,29,4,88,3,187,535,146,107,210,12,1007,25,13,8,105,1199,1345,3841,1587,1071,13492,1477,21466,98,972,706,7134
LGA14500,3811,19601,233,29485,0,0,0,47,0,46,19132,370,712,513,137,20871,259,49,28,140,3,465,934,196,122,278,11,1543,11930,4106,3038,18926,378,38389,649,27,91,18,0,786,466,81,69,259,9,885,1673,348,278,1489,24,3809,545,165,73,358,5,1154,391,57,55,71,6,581,3188,104,68,37,17,3416,2373,1093,816,7820,74,12180,1303,387,239,981,21,2930,3192,12,107,22,11,3337,266,87,27,161,4,542,53,7,6,10,0,80,145,59,32,111,0,354,86,24,3,9,0,112,765,221,183,65,5,1240,635,72,82,112,4,904,605,56,62,109,5,831,24,3,5,9,0,40,2626,977,770,6472,83,10924,154,12,18,41,0,223,2446,139,123,34,16,2761,417,40,51,49,4,564,723,48,25,19,3,813,498,19,51,9,3,576,437,89,69,287,3,886,10128,1031,1067,1105,76,13410,334,50,29,188,4063,4658,57172,8513,7001,40404,4964,118053,1347,4791,4032,18190
LGA14550,184,3284,84,3836,0,0,0,88,0,92,16,7,4,11,0,35,4,4,0,0,0,4,53,12,8,28,0,105,431,225,168,2765,91,3682,24,0,4,0,3,33,24,7,0,12,0,43,95,30,13,279,4,417,9,4,0,8,0,18,7,0,0,0,0,10,30,3,5,12,0,51,94,46,46,960,21,1158,32,15,8,97,3,154,4,0,0,0,0,9,0,3,0,5,0,14,0,0,0,0,0,0,13,0,0,3,0,10,15,4,4,7,0,31,29,10,11,5,0,60,26,0,4,7,0,35,6,0,3,0,0,8,0,0,0,0,0,0,126,67,57,730,10,983,0,0,0,0,0,6,8,3,0,5,0,18,14,0,0,0,0,16,3,0,3,0,0,7,4,0,0,0,0,3,13,9,0,25,0,48,168,47,37,112,4,362,15,0,6,92,744,858,1012,457,330,6212,929,8939,36,279,218,3131
LGA14600,92,2941,86,3211,0,0,0,174,5,183,13,0,3,6,0,22,0,0,0,0,0,0,6,3,0,9,0,22,85,63,70,1930,69,2219,29,0,3,0,0,30,0,0,0,5,0,11,21,6,7,153,0,187,8,0,0,15,3,25,6,0,0,0,0,9,15,0,0,0,0,15,14,16,8,499,8,553,3,6,0,24,0,29,0,0,0,0,0,0,4,0,0,6,0,11,0,0,0,0,0,0,0,5,3,0,0,11,3,4,0,0,0,10,3,5,9,0,0,20,0,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,19,21,11,404,6,465,0,0,0,0,0,0,9,0,3,0,0,14,0,0,0,7,0,12,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,9,0,13,59,15,11,28,0,109,6,6,0,96,630,740,276,142,137,4936,778,6278,17,76,73,2340
LGA14650,4851,73331,1406,87135,0,50,13,857,9,930,1237,86,161,414,21,1930,260,54,27,94,0,439,1057,391,239,834,21,2539,8662,6389,4689,66570,1246,87556,684,29,250,42,13,1013,235,73,63,531,5,905,1600,689,486,5599,99,8472,419,137,58,490,14,1114,225,52,18,94,7,401,900,51,31,68,11,1052,1728,1427,917,18484,273,22820,1138,488,164,2152,39,3985,208,3,23,12,3,247,118,37,20,151,0,317,561,96,50,226,5,936,270,95,55,301,7,730,304,155,80,101,0,646,500,383,229,212,13,1338,795,181,135,569,14,1693,230,53,44,168,3,495,322,80,25,28,7,464,2577,1927,1320,17523,282,23628,144,15,17,33,0,209,348,78,66,38,3,535,281,64,29,179,9,563,127,13,21,29,8,195,164,14,31,9,0,210,474,249,148,1235,20,2127,4558,1200,898,2150,95,8906,221,76,61,1525,7750,9640,24992,12575,8856,140338,10614,197373,978,7787,5793,75966
LGA14700,1250,5967,77,9108,0,4,0,21,0,31,3640,113,223,130,22,4129,170,36,11,44,4,263,267,90,46,102,0,498,3108,1360,950,5728,79,11235,444,19,40,8,0,514,181,50,17,95,3,344,453,124,100,521,14,1214,274,70,33,176,3,555,125,27,13,29,0,202,1190,38,38,21,8,1299,940,415,344,3035,46,4775,601,193,87,489,7,1373,391,4,26,13,3,431,131,37,18,77,0,269,55,0,0,10,0,66,59,21,17,61,0,158,40,8,11,0,4,67,272,98,61,25,0,456,298,54,29,69,0,451,204,18,12,7,0,248,11,0,0,0,0,11,752,327,268,1959,16,3315,78,14,8,14,0,107,242,33,24,3,0,301,239,13,17,13,0,282,195,13,15,3,4,229,177,8,11,9,0,203,121,30,16,108,3,272,4205,318,382,363,24,5296,79,9,9,71,1593,1758,16213,2904,2292,12783,1854,36050,414,1621,1350,6188
LGA14750,122,4193,110,4700,0,0,0,54,4,58,50,0,3,18,9,75,7,4,0,4,0,8,25,9,4,37,6,81,251,200,100,3389,74,4010,93,0,0,3,0,92,8,0,0,27,0,33,49,16,7,421,5,505,11,8,0,10,0,32,8,0,0,4,0,12,93,0,0,3,0,95,37,51,34,1101,26,1248,451,144,26,465,10,1091,7,0,0,0,0,5,3,0,0,7,0,14,0,0,0,0,0,0,5,0,3,10,0,17,21,0,0,0,0,28,16,8,8,11,0,37,9,6,0,15,0,29,0,0,0,0,0,0,11,3,0,0,0,21,77,54,42,934,30,1136,0,0,0,0,0,0,10,5,0,8,0,17,3,0,0,10,0,11,8,0,0,0,0,13,4,5,4,0,0,12,4,3,0,26,0,40,225,24,26,65,10,357,27,9,0,142,905,1090,1355,479,249,7950,1135,11167,57,233,156,3926
LGA14850,921,15100,312,17812,0,21,14,369,5,405,164,19,24,92,3,293,19,4,5,7,0,41,221,72,50,124,7,473,1896,1271,872,13469,289,17795,135,6,69,11,6,228,119,21,20,119,0,276,388,130,80,1403,33,2037,39,24,8,87,0,164,53,9,3,13,0,80,154,17,11,36,7,229,421,371,190,5466,104,6546,499,219,63,1109,20,1906,34,0,5,6,0,46,8,10,0,57,0,74,6,0,0,0,0,7,34,18,12,51,0,111,78,25,20,33,0,162,132,73,54,26,0,292,87,24,6,53,4,179,43,5,9,28,0,84,15,4,4,7,0,26,498,333,262,3883,64,5038,7,0,0,0,0,7,64,12,11,19,0,104,56,3,9,53,4,120,12,5,0,3,0,22,54,6,3,0,4,68,66,18,26,146,0,261,1004,294,222,542,25,2088,62,27,22,337,3129,3577,5097,2549,1736,29965,3790,43134,215,1478,1024,14678
LGA14870,367,7809,222,9109,0,6,0,109,4,119,100,3,5,35,0,141,28,3,0,13,0,45,103,42,15,58,5,220,906,548,362,6417,198,8423,83,0,35,4,0,120,32,10,7,41,0,85,136,54,21,449,11,676,39,11,5,38,7,97,36,9,3,12,0,59,60,10,0,9,0,77,168,127,62,1945,58,2361,117,34,22,188,10,358,3,3,0,0,0,6,15,10,0,13,0,33,9,3,0,0,0,12,40,15,4,26,0,91,29,9,7,17,0,65,40,19,14,13,0,88,58,23,0,21,0,110,7,4,0,12,0,24,3,0,0,0,3,6,265,199,139,1662,69,2333,22,0,0,0,7,25,8,3,0,0,3,15,31,0,3,15,0,49,10,0,0,0,0,12,30,0,5,0,0,41,47,24,8,70,0,145,430,99,65,173,9,775,32,4,11,217,2198,2465,2405,1127,685,14233,2646,21090,93,665,383,7374
LGA14900,2910,21718,562,33877,9,26,21,412,6,480,9621,172,295,254,118,10455,2000,226,146,430,27,2834,379,106,67,215,16,780,7211,2646,1977,16248,537,28624,5054,102,306,71,52,5572,500,55,36,152,9,754,1279,243,186,1301,28,3037,2597,535,271,1165,29,4599,400,46,24,68,3,546,12823,120,157,56,86,13244,1117,600,405,5299,81,7506,6883,1623,817,4171,111,13609,237,11,9,6,0,255,8265,1798,730,1276,125,12197,2055,245,170,326,12,2810,1614,418,188,1007,28,3252,1007,139,93,50,22,1306,571,151,129,79,10,945,1241,104,97,192,10,1649,513,34,33,62,9,651,2431,188,90,54,62,2827,1315,562,417,3555,81,5932,4759,294,156,253,54,5517,341,46,39,29,0,449,2400,125,117,132,31,2811,522,17,19,6,6,565,10056,137,235,158,141,10727,138,52,21,138,4,350,49376,2457,1645,1616,520,55613,2001,141,91,474,12542,15257,126795,11488,7528,43634,14887,204330,7745,4878,3201,20168
LGA14920,111,3570,100,3959,0,0,0,131,10,142,18,0,0,16,0,35,0,0,0,3,0,8,22,7,4,20,0,54,190,149,106,2463,62,2968,8,0,3,0,0,13,4,0,0,19,0,24,29,8,9,189,3,235,4,0,0,0,0,3,8,3,0,0,0,10,10,0,0,3,0,11,38,39,19,631,12,735,10,4,0,47,0,60,5,0,0,0,0,7,3,0,0,0,0,4,0,0,0,0,0,0,6,4,0,5,0,20,16,0,0,3,0,21,6,7,7,4,0,22,10,0,0,6,0,15,0,0,0,8,0,9,0,0,0,0,0,0,55,39,32,674,17,817,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,17,0,34,58,8,21,56,0,148,4,5,4,76,618,703,431,273,180,6015,787,7689,11,150,98,2939
LGA14950,45,1260,18,1386,0,0,0,13,0,14,17,3,0,7,0,24,0,0,0,0,0,0,17,11,5,11,0,43,76,38,28,972,18,1133,0,0,0,0,0,5,0,0,0,15,0,17,13,3,6,226,0,251,0,0,0,5,0,5,0,0,0,4,0,9,0,0,0,0,0,0,16,6,10,402,6,434,7,0,0,12,0,26,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,8,5,0,0,0,13,4,0,9,0,0,11,5,0,0,4,0,11,0,0,0,0,0,5,0,0,0,0,0,0,19,11,3,306,0,344,0,0,0,0,0,0,5,0,0,0,0,11,0,0,0,3,0,4,0,0,0,0,0,0,8,0,3,0,0,9,0,0,4,9,0,10,34,4,8,18,0,64,9,0,0,52,256,316,190,87,74,2469,297,3121,13,50,55,1267
LGA15050,1618,30670,429,35242,4,18,12,380,8,421,367,24,43,140,3,579,56,19,6,38,0,118,305,165,91,368,12,935,2588,2203,1510,27164,441,33904,377,18,107,18,9,526,62,19,5,162,4,246,489,266,141,2716,37,3649,86,41,16,163,0,301,53,22,5,36,0,118,534,22,8,33,8,594,550,468,346,8065,118,9542,232,117,48,722,9,1122,43,0,6,5,0,56,30,18,0,38,4,89,22,9,0,35,0,73,60,33,12,109,0,212,181,73,30,61,3,354,175,129,97,88,0,492,342,62,28,300,3,741,65,11,20,53,0,146,59,31,6,7,3,113,755,600,441,6493,84,8367,26,10,6,7,3,53,158,25,23,26,0,237,96,14,5,69,0,191,33,14,7,13,0,60,72,9,0,4,0,76,136,75,42,337,5,600,1556,401,291,807,30,3095,93,31,19,676,3508,4335,7847,4241,2893,57898,4426,77307,358,2856,2167,34374
LGA15240,1799,35093,920,40766,0,15,6,831,20,874,277,21,30,177,0,497,78,12,11,36,0,135,572,152,89,237,10,1055,4742,2605,1717,29932,853,39850,289,11,75,10,5,396,120,36,28,225,3,414,638,217,163,2479,67,3559,89,50,11,128,0,284,88,16,9,29,0,144,231,19,3,18,3,277,764,504,308,8092,168,9829,326,146,61,804,32,1366,45,0,0,0,0,50,44,22,20,76,0,158,17,5,0,9,0,23,219,66,31,190,11,512,82,42,22,50,3,206,199,103,76,61,9,439,207,36,18,85,5,348,68,9,6,17,0,106,6,5,4,3,0,21,1109,661,426,7145,180,9528,23,0,0,6,0,36,121,19,5,16,0,150,102,11,6,65,0,184,34,4,5,4,3,57,39,0,0,0,0,42,155,73,38,266,9,537,1478,371,268,726,40,2887,91,53,27,844,5464,6482,10223,4780,3174,64805,7316,90302,397,2937,1935,34849
LGA15270,502,9970,237,11415,0,0,0,86,5,92,56,3,11,51,3,121,29,3,0,10,0,36,128,40,37,93,0,300,913,569,457,7480,192,9607,82,0,26,3,5,122,23,3,0,36,0,60,181,41,54,667,19,959,44,12,4,45,0,109,19,4,0,7,0,37,69,0,4,9,0,78,138,137,77,2333,46,2731,103,50,25,185,3,359,12,0,0,3,0,17,7,3,4,6,0,25,0,0,0,0,0,0,58,25,11,57,0,147,26,13,8,10,0,63,71,31,22,24,0,152,43,19,0,19,0,92,14,0,0,14,0,27,9,6,0,0,0,17,211,109,109,1649,31,2112,7,0,0,3,0,10,43,3,8,4,0,56,25,0,0,16,4,53,4,0,0,0,4,4,23,0,0,0,0,23,28,16,13,65,0,119,352,66,62,171,12,662,28,5,4,235,2170,2443,2304,1052,863,17236,2627,24079,94,673,550,9822
LGA15300,173,5322,121,5793,0,6,3,823,42,878,58,4,4,50,5,111,7,3,0,0,0,12,33,11,6,26,0,73,211,169,123,3742,115,4366,43,0,13,0,4,63,10,0,4,13,0,30,38,17,15,336,6,412,13,0,0,6,5,24,10,0,0,0,0,12,66,0,4,3,0,75,56,58,32,1186,33,1360,19,0,3,62,0,91,4,0,0,0,0,4,15,12,0,23,0,45,0,0,0,0,0,0,4,6,0,6,0,9,15,4,0,8,3,39,15,12,11,8,0,43,6,3,0,8,0,25,6,0,0,0,0,5,3,0,3,0,0,9,71,22,48,968,16,1118,29,0,0,4,6,34,25,0,6,0,0,31,4,0,0,13,0,19,3,0,0,0,0,5,4,0,0,0,0,4,13,3,3,39,0,52,198,36,27,90,10,350,14,0,3,203,1478,1706,810,314,280,9982,1766,13158,17,147,135,4049
LGA15350,957,4830,55,7334,0,0,0,9,0,13,1226,65,73,73,0,1443,127,21,8,45,0,199,289,56,39,44,5,434,3843,1212,923,5362,91,11428,168,0,13,6,0,185,263,50,17,95,5,433,551,89,64,432,9,1152,207,70,46,146,5,471,125,27,10,21,0,173,359,18,25,9,6,413,975,338,251,2597,34,4202,564,126,69,321,5,1090,118,4,4,3,0,129,73,21,11,49,5,153,39,0,5,3,0,47,46,14,9,28,0,94,31,0,4,5,0,41,323,54,75,20,0,471,205,34,18,28,0,298,175,13,14,23,0,229,4,0,3,0,0,12,902,287,226,1916,25,3355,62,0,0,0,0,64,261,24,16,5,0,312,186,10,8,12,4,218,72,5,6,9,0,80,78,0,8,4,0,91,152,24,14,95,0,281,2335,251,235,274,22,3123,59,5,5,72,1878,2022,10986,2378,1845,11198,2074,28476,270,1375,1051,4807
LGA15520,198,4608,111,5148,0,3,0,93,4,104,38,0,0,19,0,55,8,0,0,0,0,9,61,21,9,47,0,146,353,198,194,3845,94,4685,47,0,12,3,0,59,8,0,0,19,0,31,61,21,19,384,7,486,13,3,4,15,0,36,11,0,0,3,0,9,22,0,0,0,0,20,55,44,28,1164,16,1319,69,25,11,212,0,327,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,6,0,0,15,0,0,4,0,17,18,0,0,3,0,22,22,7,4,14,0,50,19,3,0,14,0,41,8,0,0,3,0,12,0,0,0,0,0,5,110,54,37,1105,22,1328,0,0,0,0,0,0,20,0,0,0,0,24,4,3,0,9,0,18,10,0,0,0,0,10,0,0,0,0,0,0,12,0,4,28,0,43,127,22,28,61,4,242,14,0,5,134,790,947,992,383,346,8946,1016,11682,27,247,217,4849
LGA15560,66,1596,45,1783,0,0,0,9,0,9,18,0,0,6,0,26,4,0,0,3,0,9,14,3,0,5,4,30,90,46,51,1186,32,1404,17,0,5,5,0,29,4,0,0,12,0,17,9,6,3,82,0,99,0,0,0,3,0,8,0,0,0,0,0,5,16,0,0,0,0,17,25,10,13,415,5,469,36,22,8,93,0,163,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,5,3,3,0,0,14,4,0,0,0,0,4,15,5,4,0,0,30,3,0,0,10,0,11,0,0,0,4,0,6,3,0,0,0,0,4,27,10,13,334,4,394,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,60,14,14,35,0,116,6,0,0,49,378,433,314,117,107,2844,452,3838,0,50,54,1359
LGA15650,275,6809,125,7621,0,3,0,84,0,91,74,3,4,30,0,113,3,5,0,4,0,10,69,29,17,53,6,173,457,317,246,5342,118,6474,107,4,25,8,6,140,18,5,0,26,0,46,50,33,24,523,9,638,11,0,0,26,0,34,8,0,0,4,0,12,94,8,6,18,0,120,143,83,45,1450,24,1743,41,27,17,125,6,203,3,0,5,0,0,10,11,4,0,17,0,29,0,4,0,0,0,8,18,3,3,17,0,41,54,11,6,13,0,86,56,29,23,18,3,129,18,9,7,12,0,53,3,0,0,4,0,12,4,6,3,0,0,11,132,101,51,1136,22,1437,7,3,0,0,5,14,22,8,0,0,0,30,8,5,0,11,0,31,17,0,0,0,0,17,5,0,0,0,0,5,28,9,5,55,0,93,306,50,53,115,3,538,17,5,6,181,1221,1432,1492,648,490,11979,1481,16086,50,361,301,6589
LGA15700,375,7327,220,8608,0,5,4,327,13,347,33,8,0,47,0,92,17,6,0,8,0,28,112,27,18,47,0,204,1021,618,374,6099,160,8271,45,0,17,3,0,65,28,13,7,50,0,100,134,42,29,531,6,749,18,14,0,20,3,63,14,11,0,5,0,30,19,3,4,11,0,38,163,132,64,1838,32,2234,81,39,7,165,9,290,3,0,0,0,0,4,13,5,3,17,0,37,0,0,0,0,0,0,25,13,4,29,0,65,35,11,8,17,3,75,53,33,28,12,3,131,31,9,3,26,3,75,15,4,6,13,0,37,0,0,0,0,0,8,216,144,114,1502,41,2016,0,3,0,0,0,4,16,3,3,8,0,31,42,0,0,14,0,59,3,0,0,5,0,11,14,0,0,0,0,14,44,5,9,47,0,108,300,94,69,166,12,648,26,4,10,206,1299,1542,2072,1090,695,13654,1692,19210,103,634,448,7084
LGA15750,145,6155,125,6673,0,4,0,106,0,106,45,3,4,22,0,74,0,0,0,0,0,4,39,15,12,42,0,105,205,184,138,4260,93,4877,47,0,5,3,0,55,5,0,0,15,0,23,51,24,20,365,3,459,3,3,3,16,0,25,6,0,0,3,0,9,28,0,0,0,0,28,56,43,32,1158,23,1300,11,3,3,50,0,63,0,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,5,3,0,0,0,0,5,18,5,6,0,0,32,14,10,8,11,0,48,6,7,0,7,0,24,0,0,0,3,0,9,0,0,0,0,0,0,72,41,34,990,8,1139,0,0,0,0,0,0,14,0,0,0,0,16,9,5,0,18,0,32,14,0,0,0,0,9,0,0,0,0,0,4,19,0,5,27,0,46,115,28,17,65,0,234,3,8,4,187,1304,1509,645,371,265,10293,1509,13083,26,220,170,5487
LGA15800,58,2502,55,2728,0,0,0,47,3,51,6,0,0,25,0,36,0,0,0,0,0,0,25,3,0,14,0,35,110,109,61,1860,65,2205,8,0,0,5,0,17,8,0,0,13,0,22,26,12,9,222,3,273,8,3,0,7,0,19,3,0,0,0,0,3,18,0,0,0,0,23,5,25,14,683,13,735,36,11,4,105,5,156,4,0,0,0,0,4,0,0,0,3,0,4,0,0,0,0,0,4,0,0,0,4,0,9,7,6,0,0,0,13,7,4,3,0,0,13,12,3,0,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,34,14,22,467,7,550,0,0,0,7,0,7,4,0,0,0,0,6,6,0,0,6,0,17,3,0,0,0,0,3,0,0,0,0,0,0,3,7,0,9,0,18,60,16,3,31,5,113,0,0,0,68,596,671,355,186,107,4485,717,5853,16,109,76,2127
LGA15850,91,3099,68,3392,0,0,0,80,5,88,15,0,0,10,0,30,3,0,0,3,0,7,14,3,10,11,0,34,104,82,65,2155,61,2473,0,0,0,0,0,0,0,0,0,9,0,15,35,10,8,158,6,212,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,3,0,13,26,10,8,611,6,673,12,7,0,44,0,56,8,0,0,0,0,8,4,0,4,3,0,7,0,0,0,0,0,0,11,0,0,13,0,23,0,0,0,11,0,19,4,6,7,0,0,21,3,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,29,18,20,519,0,578,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,6,3,4,0,0,0,9,0,0,0,0,0,0,4,0,3,14,0,22,47,16,12,25,0,99,0,0,0,85,553,645,291,189,139,5149,681,6444,10,105,87,2438
LGA15900,3834,49805,878,60236,3,38,14,639,9,704,2986,103,177,320,49,3630,350,91,28,106,0,574,569,311,203,694,14,1787,5846,4965,3487,48495,824,63624,840,28,280,24,8,1182,253,65,76,440,12,839,1116,528,353,4499,63,6556,796,217,77,611,12,1719,162,48,26,79,0,322,1514,59,61,47,9,1685,1451,1207,811,17201,230,20907,1448,506,170,2011,44,4180,448,6,31,16,6,505,74,39,21,110,0,243,1174,156,70,358,20,1781,116,56,30,189,0,395,239,94,88,83,7,507,411,251,233,138,12,1046,802,166,129,593,17,1701,204,38,30,135,5,412,186,93,28,21,0,328,1794,1402,994,13712,189,18087,258,25,23,57,0,358,253,63,44,35,6,397,288,33,25,156,9,509,208,14,15,12,0,249,505,16,20,9,8,554,310,209,109,1029,17,1667,6684,1161,926,2000,86,10857,285,67,59,1066,7669,9151,26866,9901,7180,101883,9579,155412,957,6007,4591,51757
