POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA2798,..,129,129,259,8,271,97,0,95,110,0,110,70,0,70,30,0,30,565,137,705
POA2799,..,427,427,492,18,516,225,0,225,191,0,191,101,0,101,46,0,46,1058,451,1508
POA2800,..,4434,4434,5076,384,5461,2266,50,2320,2302,36,2338,1135,16,1148,503,3,510,11285,4918,16202
POA2803,..,30,30,46,0,49,10,0,10,11,0,11,0,0,0,4,0,4,76,32,108
POA2804,..,349,349,347,15,365,124,3,125,109,0,109,70,0,70,21,0,21,676,370,1043
POA2805,..,50,50,56,0,57,14,0,14,24,0,24,16,0,16,6,0,6,109,51,161
POA2806,..,89,89,126,12,136,35,0,34,33,0,33,17,0,17,8,0,8,214,96,310
POA2807,..,65,65,62,5,68,16,0,16,16,0,16,7,0,7,4,0,4,104,66,171
POA2808,..,28,28,38,0,42,7,0,7,0,0,0,0,0,0,3,0,3,52,32,83
POA2809,..,20,20,39,0,41,3,0,3,4,0,4,7,0,7,0,0,0,55,17,76
POA2810,..,425,425,478,22,505,132,3,133,109,0,109,68,0,68,31,0,31,823,456,1273
POA2817,..,33,33,50,0,47,14,0,14,11,0,11,7,0,7,3,0,3,88,28,114
POA2818,..,65,65,106,3,102,50,0,50,35,0,35,23,0,23,17,0,17,226,72,291
POA2820,..,783,783,762,61,823,320,3,325,269,0,269,138,0,138,87,0,87,1572,846,2427
POA2821,..,465,465,582,26,614,226,3,232,202,0,202,128,0,128,77,0,77,1215,493,1713
POA2822,..,46,46,56,3,58,24,0,24,16,0,16,3,0,3,3,0,3,113,44,155
POA2823,..,168,168,183,13,190,61,0,65,52,0,52,32,0,32,17,0,17,342,184,527
POA2824,..,273,273,286,20,301,96,6,97,80,0,80,48,0,48,28,0,28,538,293,828
POA2825,..,280,280,282,18,296,105,3,104,109,0,109,54,0,54,32,0,32,574,303,876
POA2826,..,14,14,24,0,25,5,0,5,9,0,9,3,0,3,4,0,4,49,18,70
POA2827,..,426,426,501,30,530,155,0,155,152,0,152,92,0,95,33,0,33,936,455,1389
